52.53,25.0586096,4
52.54,1,1
52.55,5.80516374,3
52.56,2.71852779,3
52.58,64.05,2
52.59,119.24611796,2
52.6,72.23096519,4
52.61,116.4,2
52.62,244.3214294,3
52.63,10.5,2
52.64,14.754187,1
52.65,14.214526,4
52.67,85,3
52.68,50,2
52.69,16.91277217,4
52.7,1.1,2
52.71,287.311,3
52.72,20,1
52.73,10.74613816,3
52.75,578.44912039,8
52.77,13,2
52.79,147.06151883,5
52.8,382.42800813,7
52.81,11,2
52.82,0.1,1
52.83,10.3037667,2
52.84,6.5,2
52.85,166.18540259,7
52.86,1,1
52.87,17.28,3
52.88,399.45925424,2
52.89,2386.01,5
52.9,10.5001,4
52.91,938.0971925,2
52.93,170,2
52.94,1,1
52.95,20.72815608,4
52.96,51,2
52.97,10,1
52.98,0.1,1
52.99,37.063318,3
53,261.89619905,25
53.01,33.54,6
53.02,3,1
53.03,12.90474921,3
53.04,36.1,2
53.05,112.42104647,7
53.06,154,1
53.07,11,2
53.08,39.18752003,3
