52.52,519.69761462,6
52.51,48.00199557,1
52.48,2.70516374,1
52.47,29.41,3
52.46,20,1
52.45,267.311,2
52.41,20,1
52.4,23.04650362,2
52.38,20,1
52.37,0.5,1
52.34,0.1,1
52.32,0.1,1
52.31,12.03646558,2
52.3,9.4064,6
52.27,15,1
52.26,12.21032269,5
52.25,144.81427803,8
52.24,97.71209801,2
52.23,255.5,3
52.21,279.42576946,2
52.2,60.7888346,3
52.18,15.5,1
52.17,218.85032969,5
52.16,2373.21,2
52.15,20.14985631,2
52.12,0.35,1
52.11,22,4
52.1,76.30679591,3
52.08,1.1,2
52.07,30.1,2
52.06,2,1
52.05,22.49514182,5
52.03,1,1
52.02,49.99134967,6
52.01,2.02020067,2
52,89.58292629,14
51.99,1.5,1
51.98,19.73816913,2
51.97,16.57932626,3
51.96,7.01,2
51.95,2.1008,3
51.94,0.1,1
51.93,1.0171,1
51.92,2.45,3
51.91,33.33637706,3
51.9,1.7085,3
51.87,1.34952767,1
51.86,3.92826842,2
51.85,8.51648988,3
51.84,5.1,2
