52.64,437.16370269,17
52.62,111.84429593,2
52.61,20,1
52.6,66.4085,3
52.59,222.801207,4
52.58,64.62832387,2
52.57,237.311,1
52.56,33,1
52.55,178.64041353,4
52.54,0.00549369,1
52.53,26,2
52.52,101.100725,4
52.51,307,5
52.5,216.63667632,20
52.49,1,1
52.47,33.43230944,2
52.45,11.97964731,5
52.41,215.14310246,2
52.4,1.1,2
52.39,109.704,1
52.38,30,1
52.37,2391.28183386,2
52.36,14.99802421,4
52.35,0.65,3
52.34,0.1337,1
52.33,2,1
52.32,4.5061,3
52.31,136.5113736,2
52.3,11.3056,5
52.28,70,1
52.27,2,1
52.26,29.783524,2
52.25,424.84057108,6
52.24,2.42988592,1
52.23,5.25239326,2
52.21,2.25,2
52.2,175.639,7
52.19,11,1
52.17,2.20034363,3
52.16,3,2
52.15,1.1,2
52.13,8.1,3
52.12,104.6,4
52.11,10,1
52.1,29.7056,6
52.09,272.766,1
52.08,10.29185868,1
52.07,2,1
52.06,10.29965425,1
52.05,113.55,7
