52.65,320.61133207,4
52.66,50,1
52.69,48.4192,9
52.7,0.8548,2
52.72,1.96804207,1
52.73,64.2883046,2
52.74,41.69525537,1
52.75,9.35816642,1
52.77,143.247,3
52.78,179.99999999,1
52.79,395.72284847,2
52.8,200.2056,2
52.81,26,2
52.82,158.294,3
52.83,6.2,2
52.84,149.804,1
52.85,26,2
52.86,41,2
52.87,0.1,1
52.88,253.729,2
52.89,131.4998,3
52.9,74.984,1
52.91,237.311,1
52.92,0.1,1
52.93,30,1
52.97,29.83213815,1
52.99,78.03171196,1
53,174.1056957,7
53.01,0.1,1
53.02,1.95854573,1
53.03,17.31700752,1
53.04,111,3
53.05,2385.822482,3
53.06,21.75,2
53.09,221.1,4
53.11,0.1,1
53.12,6.18447,2
53.13,0.6,2
53.15,35.21724327,4
53.17,1,1
53.19,1,1
53.2,330.54520021,5
53.22,21.8,3
53.23,140,1
53.25,123.28581752,5
53.26,25.23692191,1
53.27,1,1
53.28,1.2,2
53.29,706,3
53.3,0.73203864,2
