52.4,5.63005547,2
52.36,0.6,1
52.35,45.1,2
52.34,0.2,1
52.33,26.26164606,1
52.32,2.44950616,1
52.31,124.6,2
52.3,100.0064,3
52.29,143.049,1
52.28,20,1
52.27,237.311,1
52.26,30.20034443,2
52.25,0.1,1
52.24,20,1
52.21,150.22568265,1
52.2,24.92,4
52.18,15,1
52.17,3,1
52.15,0.1,1
52.14,19,1
52.12,1.91864927,1
52.11,10,2
52.1,5.2064,2
52.08,43.86803838,2
52.07,24.82768284,2
52.06,110.6,1
52.05,88.9,2
52.04,109,1
52.02,98.9445984,7
52.01,115.44183164,3
52,89.17423358,11
51.98,34.40669,2
51.97,2389.68932626,4
51.96,6.01,2
51.95,2.1008,3
51.93,1.0171,1
51.92,8.1,3
51.9,1.206,2
51.87,1.34952767,1
51.86,8,1
51.85,33.51648988,4
51.83,11.575,1
51.82,37.46269935,2
51.8,1,1
51.75,61.26,4
51.74,4.831478,1
51.7,51.40968112,4
51.69,4.92240654,2
51.65,76.59656341,4
51.64,4.04,1
