52.41,404.53895864,5
52.42,69.13,3
52.43,20,1
52.44,114.92721255,5
52.45,1,1
52.47,20,1
52.48,38.6787,19
52.49,25.34219728,8
52.5,14.9287,21
52.51,117.03191796,13
52.52,2.8929,6
52.54,20,1
52.55,109.00246231,1
52.58,49.3464,1
52.59,245,1
52.6,70.31701782,5
52.61,444.23,1
52.62,33,1
52.63,8.99,1
52.65,27.96391744,2
52.66,237.311,1
52.67,9.30025297,1
52.68,0.5,1
52.7,5,1
52.71,10.2696,2
52.72,47.62175072,1
52.73,75,3
52.74,12.5,3
52.75,108.91044976,4
52.77,23.26851302,5
52.78,50,1
52.79,45.98933118,3
52.8,102.71047053,5
52.82,2.3393212,2
52.83,89.09306,1
52.84,2373.3694355,2
52.85,11,2
52.86,36.56216831,1
52.87,181,2
52.88,3.1,2
52.89,1,1
52.9,0.95,3
52.91,14,3
52.95,13.12815608,3
52.96,1,1
52.98,412.29,4
52.99,815.063318,3
53,229.3255801,15
53.01,146.1,4
53.03,2.90474921,2
